No.	A	->	B		C		D	Left side feats	Right side feats	Scope	Hits	Reliability	Confidence	examples	exceptions
2261	o	->	o	/	X r	__	p	[]	[]	2	2	1.0	0.57	arrop, desarrop	
2276	o	->	o	/	X l	__	s	[]	[]	2	2	1.0	0.57	glos, enlos	
2277	o	->	o	/	enl	__	 y	[]	[]	2	2	1.0	0.57	enlod, enlos	
2298	o	->	o	/	X rem	__	l y	[]	[]	2	2	1.0	0.57	remolk, tremol	
2303	o	->	o	/	abr	__	 y	[]	[]	2	2	1.0	0.57	abroC, abrog	
2307	o	->	o	/	X f	__	rr	[]	[]	2	2	1.0	0.57	forr, aforr	
2308	o	->	o	/	af	__	r y	[]	[]	2	2	1.0	0.57	afor, aforr	
2311	o	->	o	/	X l	__	Ng	[]	[]	2	2	1.0	0.57	proloNg, aloNg	
2312	o	->	o	/	al	__	 y	[]	[]	2	2	1.0	0.57	alox, aloNg	
2317	o	->	o	/	X am	__	r y	[]	[]	2	2	1.0	0.57	enamor, amorr	
2332	o	->	o	/	X bald	__	s	[]	[]	2	2	1.0	0.57	embaldos, baldos	
2340	o	->	o	/	X r	__	l	[]	[]	2	2	1.0	0.57	kontrol, Carol	
2341	o	->	o	/	X ar	__	 y	[]	[]	2	2	1.0	0.57	parodj, Carol	
2347	o	->	o	/	X ont	__	 y	[]	[]	2	2	1.0	0.57	amonton, kontorn	
2348	o	->	o	/	X nt	__	rn	[]	[]	2	2	1.0	0.57	entorn, kontorn	
2355	o	->	o	/	X ad	__	rn	[]	[]	2	2	1.0	0.57	adorn, desadorn	
2374	o	->	o	/	X mp	__	j	[]	[]	2	2	1.0	0.57	ampoj, empoj	
2376	o	->	o	/	X ulsj	__	n	[]	[]	2	2	1.0	0.57	konbulsjon, emulsjon	
2385	o	->	o	/	ent	__	r y	[]	[]	2	2	1.0	0.57	entorn, entort	
2391	o	->	o	/	X t	__	m	[]	[]	2	2	1.0	0.57	tom, epitom	
2393	o	->	o	/	est	__	 y	[]	[]	2	2	1.0	0.57	estorb, estof	
2408	o	->	o	/	X ign	__	r	[]	[]	2	2	1.0	0.57	ignor, pignor	
2423	o	->	o	/	X oj	__	 y	[]	[]	2	2	1.0	0.57	sojos, abojon	
2433	o	->	o	/	X rr	__	x	[]	[]	2	2	1.0	0.57	arrox, aserrox	
2541	o	->	o	/	X ap	__	d	[]	[]	2	2	1.0	0.57	apod, Capod	
2561	o	->	o	/	X pl	__	t	[]	[]	2	2	1.0	0.57	eksplot, komplot	
2562	o	->	o	/	X mpl	__	 y	[]	[]	2	2	1.0	0.57	implor, komplot	
2576	o	->	o	/	konb	__	 y	[]	[]	2	2	1.0	0.57	konbok, konboj	
2590	o	->	o	/	X ab	__	j	[]	[]	2	2	1.0	0.57	aboj, desaboj	
2592	o	->	o	/	X akom	__	d	[]	[]	2	2	1.0	0.57	akomod, desakomod	
2604	o	->	o	/	X aposesj	__	n	[]	[]	2	2	1.0	0.57	aposesjon, desaposesjon	
2612	o	->	o	/	X aprisj	__	n	[]	[]	2	2	1.0	0.57	aprisjon, desaprisjon	
2618	o	->	o	/	X as	__	sj	[]	[]	2	2	1.0	0.57	asosj, desasosj	
2619	o	->	o	/	X sas	__	 y	[]	[]	2	2	1.0	0.57	sason, desasosj	
2629	o	->	o	/	X kol	__	 y	[]	[]	2	2	1.0	0.57	kolok, deskolor	
2682	o	->	o	/	X silusj	__	n	[]	[]	2	2	1.0	0.57	desilusjon, disilusjon	
2718	o	->	o	/	end	__	 y	[]	[]	2	2	1.0	0.57	endos, endors	
2725	o	->	o	/	X r	__	m	[]	[]	2	2	1.0	0.57	embrom, enrom	
2732	o	->	o	/	X l	__	n	[]	[]	2	2	1.0	0.57	eskalon, entrereNglon	
2733	o	->	o	/	X eNgl	__	 y	[]	[]	2	2	1.0	0.57	eNglob, entrereNglon	
2736	o	->	o	/	entr	__	 y	[]	[]	2	2	1.0	0.57	entroNk, entron	
2742	o	->	o	/	X m	__	nd	[]	[]	2	2	1.0	0.57	mond, eskamond	
2746	o	->	o	/	esk	__	 y	[]	[]	2	2	1.0	0.57	eskolt, eskombr	
2747	o	->	o	/	X k	__	mb y	[]	[]	2	2	1.0	0.57	komb, eskombr	
2778	o	->	o	/	X rp	__	 y	[]	[]	2	2	1.0	0.57	iNkorpor, interpol	
2800	o	->	o	/	X akondisj	__	n	[]	[]	2	2	1.0	0.57	akondisjon, reakondisjon	
2829	o	->	o	/	X k	__	mpr	[]	[]	2	2	1.0	0.57	kompr, sobrekompr	
2844	o	->	o	/	X sb	__	rd	[]	[]	2	2	1.0	0.57	desbord, transbord	
2862	o	->	o	/	X nj	__	 y	[]	[]	2	2	1.0	0.57	manjobr, unjon	
2869	o	->	o	/	X ok	__	pj	[]	[]	2	2	1.0	0.57	fotokopj, serokopj	
269	o	->	o	/	b	__	 y	[]	[]	7	5	0.714	0.561	bot, borr, bord, bot, bog	bol, bolk
592	o	->	o	/	m	__	 y	[]	[]	7	5	0.714	0.561	mont, mox, mor, mof, mond	mostr, mobl
545	o	->	o	/	X as	__	 y	[]	[]	14	9	0.643	0.544	asom, asosj, asombr, rason, asot, deskorason, blason, sason, desasosj	asol, ason, asold, asol, trasoñ
1123	o	->	o	/	X r	__	s y	[]	[]	9	6	0.667	0.537	ros, destros, enrosk, alboros, desbros, rosn	rosj, eNgros, deseNgros
168	o	->	o	/	X s	__	 y	[]	[]	52	30	0.577	0.529	sobr, asom, asosj, asombr, sopl, rason, asesor, asot, sob, filosof, atesor, absort, desox, disosj, resoNg, deskorason, blason, sosobr, desonr	sol, son, soñ, solt, konsol, reson, desol, sold, asol, deskonsol, desoj, resoj, desob, ason, asold, asol, konson, desold, desos
741	o	->	o	/	f	__	r y	[]	[]	4	3	0.75	0.526	form, forx, forr	fors
854	o	->	o	/	f	__	 y	[]	[]	4	3	0.75	0.526	form, forx, forr	fors
934	o	->	o	/	X ep	__	 y	[]	[]	4	3	0.75	0.526	repos, deport, report	repobl
1317	o	->	o	/	ret	__	 y	[]	[]	4	3	0.75	0.526	retok, retos, retoñ	retost
1562	o	->	o	/	emp	__	 y	[]	[]	4	3	0.75	0.526	empotr, empolb, empoj	empork
1805	o	->	o	/	X s	__	b y	[]	[]	4	3	0.75	0.526	sobr, sob, sosobr	desob
2050	o	->	o	/	X is	__	 y	[]	[]	4	3	0.75	0.526	disosj, akrisol, apison	dison
2577	o	->	o	/	X nb	__	 y	[]	[]	4	3	0.75	0.526	konbok, inbok, konboj	sirkunbol
2845	o	->	o	/	X sb	__	 y	[]	[]	4	3	0.75	0.526	desbord, esbos, transbord	trasbol
970	o	->	o	/	ak	__	 y	[]	[]	11	7	0.636	0.523	akos, akopl, akot, akod, akort, akolC, akopj	akord, akost, akoj, akorn
451	o	->	o	/	X r	__	s	[]	[]	6	4	0.667	0.5	ros, destros, alboros, desbros	eNgros, deseNgros
1665	o	->	o	/	X 	__	f y	[]	[]	6	4	0.667	0.5	filosof, mof, atrofj, estof	eskalofrj, ipertrofj
427	o	->	o	/	X eb	__	 y	[]	[]	8	5	0.625	0.489	debor, ebok, rebot, rebos, rebok	rebolk, rebol, rebolk
830	o	->	o	/	X r	__	n	[]	[]	8	5	0.625	0.489	koron, desmoron, emborron, destron, entron	tron, atron, retron
1907	o	->	o	/	X am	__	 y	[]	[]	8	5	0.625	0.489	enamor, amold, amosk, amorr, eskamond	amol, amobl, desamobl
576	o	->	o	/	X k	__	 y	[]	[]	61	32	0.525	0.481	kompr, kort, kobr, konst, kopj, rekobr, akos, rekort, kolm, dekor, eskolt, akopl, akot, arriNkon, eNkorb, akod, akort, eNkon, akolC	eNkontr, kont, rekord, akord, kost, kolg, konfj, akost, kol, rekost, deskolg, deskonfj, koNkord, deskont, reeNkontr, eNkost, deskoj, rekont, desakord
104	o	->	o	/	k	__	 y	[]	[]	12	7	0.583	0.477	kompr, kort, kobr, konst, kopj, kolm, komb	kont, kost, kolg, konfj, kol
1871	o	->	o	/	X s	__	n y	[]	[]	14	8	0.571	0.475	rason, deskorason, blason, desonr, sason, sond, apison, aperson	son, reson, ason, konson, dison, son
87	o	->	o	/	X 	__	j	[]	[]	20	11	0.55	0.471	desarroj, apoj, enroj, arroj, embroj, aboj, ampoj, empoj, atoj, konboj, desaboj	oj, degoj, desoj, resoj, deskoj, akoj, afoj, aperkoj, reoj
236	o	->	o	/	X 	__	b y	[]	[]	31	16	0.516	0.455	sobr, kobr, rob, dobl, obr, rekobr, eNglob, sob, obj, agobj, adob, manjobr, redobl, obst, sosobr, innob	komprob, prob, aprob, renob, pobl, despobl, reprob, mobl, repobl, desob, desaprob, amobl, desamobl, improb, prob
450	o	->	o	/	X tr	__	 y	[]	[]	13	7	0.538	0.439	kontrol, destros, trot, destron, atrofj, entroNk, entron	trok, tron, atron, ipertrofj, retron, trastrok
796	o	->	o	/	X ek	__	 y	[]	[]	7	4	0.571	0.428	rekobr, rekort, dekor, sobrekompr	rekord, rekost, rekont
425	o	->	o	/	p	__	 y	[]	[]	5	3	0.6	0.42	pos, port, port	pobl, porfj
2234	o	->	o	/	am	__	 y	[]	[]	5	3	0.6	0.42	amold, amosk, amorr	amol, amobl
2037	o	->	o	/	X s	__	n	[]	[]	12	6	0.5	0.399	rason, deskorason, blason, sason, apison, aperson	son, reson, ason, konson, dison, son
695	o	->	o	/	X 	__	l y	[]	[]	47	21	0.447	0.399	kontrol, bjol, kolm, eskolt, agolp, empolb, akolC, embols, remolk, desempolb, inmol, desembols, amold, desarbol, akrisol, eNgolf, tremol, Carol, reembols	sol, kolg, solt, bol, bolk, konsol, kol, deskolg, desol, sold, olg, rebolk, asol, deskonsol, amol, regold, rebol, eNkol, abuñol
467	o	->	o	/	p	__	r y	[]	[]	3	2	0.667	0.396	port, port	porfj
797	o	->	o	/	X ek	__	r y	[]	[]	3	2	0.667	0.396	rekort, dekor	rekord
984	o	->	o	/	X f	__	r	[]	[]	3	2	0.667	0.396	perfor, afor	desafor
1135	o	->	o	/	rep	__	 y	[]	[]	3	2	0.667	0.396	repos, report	repobl
1153	o	->	o	/	derr	__	 y	[]	[]	3	2	0.667	0.396	derrot, derroC	derrok
1877	o	->	o	/	desp	__	 y	[]	[]	3	2	0.667	0.396	despox, despos	despobl
2018	o	->	o	/	X k	__	r	[]	[]	3	2	0.667	0.396	dekor, eNkokor	eNkor
2063	o	->	o	/	apr	__	 y	[]	[]	3	2	0.667	0.396	apropj, apront	aprob
2173	o	->	o	/	X g	__	l y	[]	[]	3	2	0.667	0.396	agolp, eNgolf	regold
2299	o	->	o	/	X m	__	l	[]	[]	3	2	0.667	0.396	inmol, tremol	amol
2818	o	->	o	/	r	__	s y	[]	[]	3	2	0.667	0.396	ros, rosn	rosj
364	o	->	o	/	as	__	 y	[]	[]	8	4	0.5	0.374	asom, asosj, asombr, asot	asol, ason, asold, asol
1522	o	->	o	/	X es	__	 y	[]	[]	13	6	0.462	0.367	asesor, atesor, desox, resoNg, desonr, sobresol	reson, desol, desoj, resoj, desob, desold, desos
795	o	->	o	/	X k	__	r y	[]	[]	18	8	0.444	0.367	kort, rekort, dekor, eNkorb, akort, eNkokor, deskorC, alkors	rekord, akord, koNkord, desakord, diskord, akorn, deskorn, deseNkord, eNkor, eNkord
1063	o	->	o	/	reb	__	 y	[]	[]	6	3	0.5	0.351	rebot, rebos, rebok	rebolk, rebol, rebolk
2830	o	->	o	/	X rek	__	 y	[]	[]	6	3	0.5	0.351	rekobr, rekort, sobrekompr	rekord, rekost, rekont
1333	o	->	o	/	eNk	__	 y	[]	[]	9	4	0.444	0.332	eNkorb, eNkon, eNkox, eNkomj	eNkontr, eNkost, eNkol, eNkor, eNkord
719	o	->	o	/	X pr	__	 y	[]	[]	12	5	0.417	0.323	reproC, apropj, ekspropj, apront, resiprok	komprob, prob, aprob, reprob, desaprob, improb, prob
458	o	->	o	/	X 	__	l	[]	[]	24	9	0.375	0.313	kontrol, bjol, inmol, desarbol, akrisol, tremol, Carol, interpol, sobresol	sol, bol, konsol, kol, desol, asol, deskonsol, amol, rebol, eNkol, abuñol, asol, sirkunbol, traskol, trasbol
832	o	->	o	/	X eg	__	 y	[]	[]	4	2	0.5	0.31	negosj, pregon	degoj, regold
1082	o	->	o	/	X en	__	 y	[]	[]	4	2	0.5	0.31	denot, enox	renob, denost
1735	o	->	o	/	X l	__	k	[]	[]	4	2	0.5	0.31	kolok, dislok	klok, aklok
2233	o	->	o	/	X m	__	s y	[]	[]	4	2	0.5	0.31	remos, amosk	mostr, demostr
2812	o	->	o	/	X 	__	ñ	[]	[]	4	2	0.5	0.31	emponsoñ, retoñ	soñ, trasoñ
2816	o	->	o	/	X 	__	ns y	[]	[]	4	2	0.5	0.31	konst, rons	abergons, desbergons
2834	o	->	o	/	X res	__	 y	[]	[]	4	2	0.5	0.31	resoNg, sobresol	reson, resoj
494	o	->	o	/	s	__	 y	[]	[]	10	4	0.4	0.3	sobr, sopl, sob, sond	sol, son, soñ, solt, sold, son
1237	o	->	o	/	X Nk	__	 y	[]	[]	13	5	0.385	0.298	arriNkon, eNkorb, eNkon, eNkox, eNkomj	eNkontr, koNkord, reeNkontr, eNkost, eNkol, deseNkord, eNkor, eNkord
936	o	->	o	/	X 	__	b	[]	[]	14	5	0.357	0.278	rob, eNglob, sob, adob, innob	komprob, prob, aprob, renob, reprob, desob, desaprob, improb, prob
2334	o	->	o	/	X sk	__	 y	[]	[]	11	4	0.364	0.273	eskolt, deskorC, biskoC, eskombr	deskolg, deskonfj, deskont, deskoj, diskord, deskorn, traskol
908	o	->	o	/	X k	__	l y	[]	[]	8	3	0.375	0.267	kolm, eskolt, akolC	kolg, kol, deskolg, eNkol, traskol
2086	o	->	o	/	X esk	__	 y	[]	[]	8	3	0.375	0.267	eskolt, deskorC, eskombr	deskolg, deskonfj, deskont, deskoj, deskorn
2465	o	->	o	/	X 	__	rs y	[]	[]	8	3	0.375	0.267	diborsj, alkors, endors	fors, esfors, refors, almors, alfors
735	o	->	o	/	X 	__	rd	[]	[]	12	5	0.417	0.26	abord, desbord, eNgord, bord, transbord	rekord, akord, koNkord, desakord, diskord, deseNkord, eNkord
1934	o	->	o	/	X b	__	l y	[]	[]	11	4	0.364	0.26	embols, desembols, desarbol, reembols	bol, bolk, rebolk, rebol, sirkunbol, rebolk, trasbol
654	o	->	o	/	rek	__	 y	[]	[]	5	2	0.4	0.254	rekobr, rekort	rekord, rekost, rekont
2735	o	->	o	/	X tr	__	n	[]	[]	5	2	0.4	0.254	destron, entron	tron, atron, retron
1178	o	->	o	/	X k	__	n y	[]	[]	10	3	0.3	0.215	konst, arriNkon, eNkon	eNkontr, kont, konfj, deskonfj, deskont, reeNkontr, rekont
1872	o	->	o	/	des	__	 y	[]	[]	7	2	0.286	0.186	desox, desonr	desol, desoj, desob, desold, desos
2719	o	->	o	/	X 	__	rs	[]	[]	7	2	0.286	0.186	alkors, endors	fors, esfors, refors, almors, alfors
2835	o	->	o	/	X s	__	l	[]	[]	8	2	0.25	0.165	akrisol, sobresol	sol, konsol, desol, asol, deskonsol, asol
1784	o	->	o	/	gl	__	 y	[]	[]	2	1	0.5	0.146	glos	glorj
1222	o	->	o	/	tr	__	 y	[]	[]	3	1	0.333	0.146	trot	trok, tron
2039	o	->	o	/	s	__	n y	[]	[]	3	1	0.333	0.146	sond	son, son
1747	o	->	o	/	lab	__	 y	[]	[]	1	1	1.0	(known word)labor	
1869	o	->	o	/	X r	__		[]	[]	1	1	1.0	(known word)kro	
1967	o	->	o	/	X l	__		[]	[]	1	1	1.0	(known word)lo	
171	e	->	y	/	X s	__	rr	[]	[]	7	7	1.0	0.872	serr, enserr, entreserr, serr, aserr, desenserr, deserr	
722	e	->	y	/	X t	__	rr	[]	[]	6	6	1.0	0.852	enterr, aterr, desterr, desenterr, soterr, desaterr	
1248	e	->	y	/	X s	__	g	[]	[]	6	6	1.0	0.852	seg, soseg, desasoseg, seg, traseg, asoseg	
361	e	->	y	/	X 	__	rr	[]	[]	20	18	0.9	0.831	serr, enserr, enterr, aferr, aterr, desterr, err, desenterr, entreserr, soterr, serr, err, aserr, desaferr, desaterr, desenserr, deserr, ferr	emperr, aberr
619	e	->	y	/	X 	__	mb y	[]	[]	5	5	1.0	0.825	tembl, sembr, desmembr, retembl, sobresembr	
656	e	->	y	/	X al	__	nt	[]	[]	5	5	1.0	0.825	kalent, alent, desalent, rekalent, sobrekalent	
858	e	->	y	/	X n	__	g	[]	[]	5	5	1.0	0.825	neg, reneg, deneg, aneg, abneg	
2406	e	->	y	/	X k	__	br	[]	[]	5	5	1.0	0.825	kebr, pernikebr, rekebr, alikebr, reskebr	
782	e	->	y	/	X pl	__	g	[]	[]	4	4	1.0	0.786	despleg, pleg, repleg, pleg	
1146	e	->	y	/	X m	__	nd	[]	[]	4	4	1.0	0.786	rekomend, eNkomend, enmend, remend	
1438	e	->	y	/	X kal	__	nt	[]	[]	3	3	1.0	0.718	kalent, rekalent, sobrekalent	
1520	e	->	y	/	X sos	__	g	[]	[]	3	3	1.0	0.718	soseg, desasoseg, asoseg	
1875	e	->	y	/	X 	__	mbr	[]	[]	3	3	1.0	0.718	sembr, desmembr, sobresembr	
1911	e	->	y	/	X as	__	nt	[]	[]	3	3	1.0	0.718	asent, apasent, desasent	
2610	e	->	y	/	X apr	__	t	[]	[]	3	3	1.0	0.718	apret, desapret, reapret	
2614	e	->	y	/	X arr	__	nd	[]	[]	3	3	1.0	0.718	arrend, desarrend, subarrend	
2758	e	->	y	/	X f	__	rr	[]	[]	3	3	1.0	0.718	aferr, desaferr, ferr	
1014	e	->	y	/	X 	__	nd	[]	[]	11	8	0.727	0.612	rekomend, eNkomend, merend, enmend, arrend, remend, desarrend, subarrend	bend, asend, prend
723	e	->	y	/	at	__	 y	[]	[]	5	4	0.8	0.607	atent, aterr, atest, ates	atenw
1763	e	->	y	/	X r	__	nd	[]	[]	5	4	0.8	0.607	merend, arrend, desarrend, subarrend	prend
2468	e	->	y	/	X 	__	br	[]	[]	8	6	0.75	0.604	kebr, pernikebr, rekebr, alebr, alikebr, reskebr	selebr, enebr
2656	e	->	y	/	X l	__	n y	[]	[]	8	6	0.75	0.604	kalent, alent, desalent, rekalent, deslendr, sobrekalent	silensj, adelent
368	e	->	y	/	X s	__	nt	[]	[]	13	9	0.692	0.588	sent, asent, akresent, resent, apasent, desent, desasent, ensent, sent	present, represent, awsent, adesent
763	e	->	y	/	X kom	__	nd	[]	[]	2	2	1.0	0.57	rekomend, eNkomend	
866	e	->	y	/	X kons	__	rt	[]	[]	2	2	1.0	0.57	deskonsert, konsert	
923	e	->	y	/	n	__	 y	[]	[]	2	2	1.0	0.57	neg, neb	
1228	e	->	y	/	X ent	__	rr	[]	[]	2	2	1.0	0.57	enterr, desenterr	
1258	e	->	y	/	X en	__	g	[]	[]	2	2	1.0	0.57	reneg, deneg	
1794	e	->	y	/	X fr	__	g	[]	[]	2	2	1.0	0.57	freg, refreg	
2129	e	->	y	/	X trab	__	s	[]	[]	2	2	1.0	0.57	atrabes, trabes	
2161	e	->	y	/	X as	__	rt	[]	[]	2	2	1.0	0.57	asert, desasert	
2202	e	->	y	/	X t	__	mbl	[]	[]	2	2	1.0	0.57	tembl, retembl	
2362	e	->	y	/	X gob	__	rn	[]	[]	2	2	1.0	0.57	gobern, desgobern	
2372	e	->	y	/	X emp	__	dr	[]	[]	2	2	1.0	0.57	desempedr, empedr	
2389	e	->	y	/	X rep	__	 y	[]	[]	2	2	1.0	0.57	repens, entrepern	
2413	e	->	y	/	ret	__	 y	[]	[]	2	2	1.0	0.57	retembl, retent	
2472	e	->	y	/	X ik	__	br	[]	[]	2	2	1.0	0.57	pernikebr, alikebr	
2492	e	->	y	/	X asos	__	g	[]	[]	2	2	1.0	0.57	desasoseg, asoseg	
2494	e	->	y	/	at	__	s y	[]	[]	2	2	1.0	0.57	atest, ates	
2594	e	->	y	/	X af	__	rr	[]	[]	2	2	1.0	0.57	aferr, desaferr	
2624	e	->	y	/	X at	__	rr	[]	[]	2	2	1.0	0.57	aterr, desaterr	
2625	e	->	y	/	desat	__	 y	[]	[]	2	2	1.0	0.57	desatent, desaterr	
2627	e	->	y	/	X sim	__	nt	[]	[]	2	2	1.0	0.57	siment, desiment	
2641	e	->	y	/	X ens	__	rr	[]	[]	2	2	1.0	0.57	enserr, desenserr	
2648	e	->	y	/	X trop	__	s	[]	[]	2	2	1.0	0.57	tropes, desentropes	
2652	e	->	y	/	X es	__	rr	[]	[]	2	2	1.0	0.57	entreserr, deserr	
2658	e	->	y	/	desm	__	 y	[]	[]	2	2	1.0	0.57	desmembr, desmel	
2664	e	->	y	/	X n	__	b	[]	[]	2	2	1.0	0.57	neb, desneb	
2670	e	->	y	/	desp	__	r y	[]	[]	2	2	1.0	0.57	despert, despern	
2722	e	->	y	/	enm	__	 y	[]	[]	2	2	1.0	0.57	enmend, enmel	
2750	e	->	y	/	X estr	__	g	[]	[]	2	2	1.0	0.57	restreg, estreg	
2827	e	->	y	/	X rekal	__	nt	[]	[]	2	2	1.0	0.57	rekalent, sobrekalent	
2832	e	->	y	/	X s	__	mbr	[]	[]	2	2	1.0	0.57	sembr, sobresembr	
1622	e	->	y	/	X b	__	nt	[]	[]	7	5	0.714	0.561	rebent, bent, abent, desbent, erbent	inbent, solbent
331	e	->	y	/	X kom	__	n y	[]	[]	4	3	0.75	0.526	komens, rekomend, eNkomend	koment
2088	e	->	y	/	X d	__	nt	[]	[]	4	3	0.75	0.526	dent, desdent, endent	aksident
2286	e	->	y	/	X b	__	rn	[]	[]	4	3	0.75	0.526	gobern, inbern, desgobern	ibern
2480	e	->	y	/	X n	__	b y	[]	[]	4	3	0.75	0.526	neb, anebl, desneb	enebr
2030	e	->	y	/	X f	__	r y	[]	[]	6	4	0.667	0.5	aferr, infern, desaferr, ferr	enferm, bosifer
410	e	->	y	/	X 	__	g	[]	[]	37	20	0.541	0.484	neg, despleg, seg, pleg, reg, freg, reneg, restreg, repleg, soseg, deneg, aneg, desasoseg, seg, refreg, traseg, abneg, asoseg, estreg	entreg, peg, agreg, nabeg, aleg, despeg, segreg, releg, dobleg, koNgreg, deleg, leg, apeg, breg, disgreg, eNxalbeg, desagreg
924	e	->	y	/	X 	__	b y	[]	[]	17	9	0.529	0.442	kebr, neb, pernikebr, rekebr, alebr, alikebr, anebl, desneb, reskebr	selebr, eleb, subleb, seb, abrebj, releb, enebr, leb
345	e	->	y	/	X 	__	nt	[]	[]	77	37	0.481	0.442	sent, kalent, asent, rebent, alent, atent, ment, tent, akresent, resent, ensaNgrent, desalent, rekalent, siment, eskarment, dent, bent, apasent, abent	present, intent, represent, koment, awment, enfrent, inbent, aliment, eksperiment, lament, iNkrement, argument, kontent, foment, aparent, sustent, ostent, atorment, awsent
650	e	->	y	/	X ns	__	r y	[]	[]	7	4	0.571	0.428	enserr, deskonsert, konsert, desenserr	konserb, insert, enser
651	e	->	y	/	X s	__	rt	[]	[]	7	4	0.571	0.428	asert, deskonsert, konsert, desasert	insert, desert, disert
2707	e	->	y	/	X ens	__	 y	[]	[]	5	3	0.6	0.42	enserr, desenserr, ensent	enseñ, enser
2029	e	->	y	/	X 	__	rn	[]	[]	12	6	0.5	0.399	gobern, infern, inbern, desgobern, entrepern, despern	intern, altern, eNkwadern, konstern, ibern, empern
1690	e	->	y	/	s	__	r y	[]	[]	3	2	0.667	0.396	serr, serr	serk
2529	e	->	y	/	X am	__	nt	[]	[]	3	2	0.667	0.396	ament, kasament	lament
2616	e	->	y	/	desas	__	 y	[]	[]	3	2	0.667	0.396	desasert, desasent	desase
2621	e	->	y	/	X at	__	nt	[]	[]	3	2	0.667	0.396	atent, desatent	patent
2653	e	->	y	/	des	__	r y	[]	[]	3	2	0.667	0.396	deserb, deserr	desert
2671	e	->	y	/	X p	__	rn	[]	[]	3	2	0.667	0.396	entrepern, despern	empern
2723	e	->	y	/	X m	__	l	[]	[]	3	2	0.667	0.396	desmel, enmel	akaramel
2727	e	->	y	/	ent	__	 y	[]	[]	3	2	0.667	0.396	enterr, entes	enter
2776	e	->	y	/	X n	__	st	[]	[]	3	2	0.667	0.396	enest, inest	amonest
2655	e	->	y	/	X 	__	nd y	[]	[]	16	9	0.563	0.393	rekomend, eNkomend, merend, enmend, arrend, remend, desarrend, deslendr, subarrend	bend, eNxendr, asend, insendj, prend, bilipendj, kompendj
708	e	->	y	/	X t	__	nt	[]	[]	10	5	0.5	0.389	atent, tent, deskontent, retent, desatent	intent, kontent, sustent, ostent, patent
682	e	->	y	/	X m	__	n y	[]	[]	32	14	0.438	0.38	komens, rekomend, ment, eNkomend, enmend, siment, eskarment, remend, reximent, salpiment, ament, kasament, desiment, sement	koment, awment, aliment, eksperiment, lament, iNkrement, argument, foment, atorment, komplement, dokument, ferment, kumpliment, kondiment, pabiment, sement, menstrw, suplement
300	e	->	y	/	X 	__	rt	[]	[]	11	5	0.455	0.353	despert, asert, deskonsert, konsert, desasert	libert, alert, insert, desert, disert, iNxert
373	e	->	y	/	X p	__	s	[]	[]	6	3	0.5	0.351	empes, tropes, desentropes	pes, espes, kontrapes
2587	e	->	y	/	X es	__	nt	[]	[]	6	3	0.5	0.351	akresent, resent, desent	present, represent, adesent
2650	e	->	y	/	X es	__	r y	[]	[]	6	3	0.5	0.351	entreserr, deserb, deserr	reserb, preserb, desert
2193	e	->	y	/	X im	__	nt	[]	[]	9	4	0.444	0.332	siment, reximent, salpiment, desiment	aliment, eksperiment, kumpliment, kondiment, pabiment
2588	e	->	y	/	des	__	 y	[]	[]	9	4	0.444	0.332	desel, desent, deserb, deserr	dese, deseC, desert, desek, desentr
299	e	->	y	/	X s	__	r y	[]	[]	27	12	0.444	0.33	serr, enserr, asert, deskonsert, konsert, entreserr, serr, aserr, desasert, desenserr, deserb, deserr	aserk, obserb, konserb, reserb, serk, preserb, insert, desert, eksaserb, aser, disert, maser, ulser, laser, enser
856	e	->	y	/	X r	__	g	[]	[]	12	5	0.417	0.323	reg, freg, restreg, refreg, estreg	entreg, agreg, segreg, koNgreg, breg, disgreg, desagreg
46	e	->	y	/	s	__	 y	[]	[]	18	7	0.389	0.315	sent, serr, sembr, seg, seg, serr, sent	ses, sentr, sen, sek, serk, sed, sej, seb, sex, sens, sel
1053	e	->	y	/	X res	__	nt	[]	[]	4	2	0.5	0.31	akresent, resent	present, represent
2144	e	->	y	/	as	__	r y	[]	[]	4	2	0.5	0.31	asert, aserr	aserk, aser
2481	e	->	y	/	an	__	 y	[]	[]	4	2	0.5	0.31	aneg, anebl	anel, aneks
2678	e	->	y	/	X d	__	s y	[]	[]	4	2	0.5	0.31	adestr, desm	desbj, deslj
2705	e	->	y	/	ens	__	 y	[]	[]	4	2	0.5	0.31	enserr, ensent	enseñ, enser
2706	e	->	y	/	X ns	__	n y	[]	[]	4	2	0.5	0.31	insens, ensent	konsentr, insendj
2730	e	->	y	/	X t	__	s	[]	[]	4	2	0.5	0.31	ates, entes	bostes, deskortes
2728	e	->	y	/	X ent	__	 y	[]	[]	7	3	0.429	0.303	enterr, desenterr, entes	enter, sentensj, serpente, adentej
1454	e	->	y	/	X m	__	nt	[]	[]	26	9	0.346	0.288	ment, siment, eskarment, reximent, salpiment, ament, kasament, desiment, sement	koment, awment, aliment, eksperiment, lament, iNkrement, argument, foment, atorment, komplement, dokument, ferment, kumpliment, kondiment, pabiment, sement, suplement
2263	e	->	y	/	X es	__	 y	[]	[]	23	8	0.348	0.286	akresent, resent, entreserr, desel, desent, deserb, deserr, sobresembr	present, dese, represent, reserb, presensj, preserb, deseC, reset, kabese, resel, desert, adesent, desek, desentr, sese
1335	e	->	y	/	X res	__	 y	[]	[]	11	4	0.364	0.273	akresent, resent, entreserr, sobresembr	present, represent, reserb, presensj, preserb, reset, resel
